Date,매매가(전국평균),서울,수도권,6개광역시,강원,금리
2018-07-01,35142,73821,46696,26998,17428,1.5
2018-08-01,35394,74977,47190,27033,17416,1.5
2018-09-01,36250,78560,48810,27121,17414,1.5
2018-10-01,36728,80429,49717,27213,17331,1.5
2018-11-01,36935,81342,50123,27274,17283,1.75
2018-12-01,37003,81594,50225,27353,17256,1.75
2019-01-01,36713,81438,49784,27588,17382,1.75
2019-02-01,36696,81378,49771,27599,17321,1.75
2019-03-01,36638,81209,49693,27609,17192,1.75
2019-04-01,36580,81131,49629,27577,17035,1.75
2019-05-01,36553,81139,49603,27566,16965,1.75
2019-06-01,36534,81290,49626,27531,16822,1.75
2019-07-01,36682,82277,49953,27539,16622,1.5
2019-08-01,36841,83173,50281,27556,16481,1.5
2019-09-01,37016,84050,50605,27635,16384,1.5
2019-10-01,37057,84294,51035,27712,16332,1.25
2019-11-01,37167,84776,51236,27840,16252,1.25
2019-12-01,37482,85951,52140,28121,16224,1.25
2020-01-01,37803,86996,52802,28308,16196,1.25
2020-02-01,38777,89863,53541,28487,16180,1.25
2020-03-01,39408,91201,54613,28806,16184,0.75
2020-04-01,39596,91458,54921,28967,16168,0.75
2020-05-01,39697,91530,55076,29082,16128,0.5
2020-06-01,40169,92509,55774,29405,16135,0.5
2020-07-01,41013,95032,57186,29716,16170,0.5
2020-08-01,41929,98502,58942,30344,16241,0.5
2020-09-01,42321,100311,59814,30802,16292,0.5
2020-10-01,43074,100970,60455,30664,16382,0.5
2020-11-01,44059,102766,61692,31628,16524,0.5
2020-12-01,45016,104299,62844,32618,16634,0.5
2021-01-01,45961,106107,64215,33263,16731,0.5
2021-02-01,47094,108191,65971,33928,16924,0.5
2021-03-01,48077,109992,67514,34557,17129,0.5
2021-04-01,48822,111123,68676,35099,17356,0.5
2021-05-01,49467,112374,69651,35624,17482,0.5
2021-06-01,50461,114283,71184,36399,17846,0.5
2021-07-01,51256,115751,72406,36990,18273,0.5
2021-08-01,52322,117734,74063,37731,18722,0.75
2021-09-01,53624,119977,76392,38969,19374,0.75
2021-10-01,54132,121638,77249,39565,19584,0.75
2021-11-01,54953,123728,78388,40306,20084,1.0
2021-12-01,55321,124978,79081,40754,20499,1.0
2022-01-01,55560,125968,79630,41109,20717,1.25
2022-02-01,55808,126890,80194,41469,20963,1.25
2022-03-01,55934,127334,80481,41647,21124,1.25
2022-04-01,56044,127721,80734,41804,21290,1.5
2022-05-01,56136,127818,80946,41922,21442,1.75
2022-06-01,56183,127992,81054,41926,21679,1.75
2022-07-01,56083,128057,80901,41791,21815,2.25
2022-08-01,55842,127879,80517,41549,21876,2.5
2022-09-01,55600,127624,80175,41360,21899,2.5
2022-10-01,54692,126628,78843,40706,21902,3.0
2022-11-01,54348,128219,78749,40557,22769,3.25
2022-12-01,53367,126420,77265,39735,22606,3.25
2023-01-01,52146,123917,75378,38868,22381,3.5
2023-02-01,51436,122481,74279,38306,22292,3.5
2023-03-01,50744,120972,73155,37702,22174,3.5
2023-04-01,50098,119944,72169,37161,22068,3.5
2023-05-01,49649,118404,71378,36838,21941,3.5
2023-06-01,49562,118224,71207,36820,21926,3.5
2023-07-01,49510,118182,71151,36728,21844,3.5
